City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Takoradi,GH,83.88,scattered clouds,4.8845,-1.7554,Raybow International Hotel
2,Kruisfontein,ZA,83.73,light rain,-34.0033,24.7314,Oyster Bay House Rental
5,Rikitea,PF,76.5,light rain,-23.1203,-134.9692,People ThankYou
7,Tiarei,PF,77.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
11,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Georgetown,MY,79.95,moderate rain,5.4112,100.3354,Cititel Penang
17,Meulaboh,ID,77.72,moderate rain,4.1363,96.1285,Kost Pria
19,Itarema,BR,88.12,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
20,Busselton,AU,79.09,clear sky,-33.65,115.3333,Observatory Guest House
24,Souillac,MU,82.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,Castro,BR,77.85,few clouds,-24.7911,-50.0119,CHACARA BAILLY
30,Cape Town,ZA,81.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
32,Saint-Philippe,RE,81.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,East London,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
36,Hermanus,ZA,77.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
37,Pakxan,LA,75.42,scattered clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
40,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Butaritari,KI,81.77,broken clouds,3.0707,172.7902,Isles Sunset Lodge
43,Uarini,BR,82.35,overcast clouds,-2.99,-65.1083,
50,Sao Filipe,CV,75.65,overcast clouds,14.8961,-24.4956,Hotel Xaguate
56,Atuona,PF,76.39,light rain,-9.8,-139.0333,Villa Enata
64,Rocha,UY,86.07,clear sky,-34.4833,-54.3333,Hotel Arrarte
75,Sechura,PE,77.41,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
77,Terre-De-Bas,GP,84.61,clear sky,15.8501,-61.6442,Hôtel Bois Joli
85,Viedma,AR,88.59,clear sky,-40.8135,-62.9967,Hotel Cristal
88,Rawson,AR,78.31,clear sky,-43.3002,-65.1023,Hosteria Sampedro
90,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
93,Poum,NC,80.98,few clouds,-20.2333,164.0167,
98,Mahebourg,MU,82.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Abu Dhabi,AE,75.31,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
101,Arraial Do Cabo,BR,84.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
104,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
106,Martapura,ID,78.89,moderate rain,-3.4167,114.85,Montana Hotel Syariah
107,Sambava,MG,80.28,moderate rain,-14.2667,50.1667,Melrose
109,Edd,ER,83.21,clear sky,13.9297,41.6925,
119,Inongo,CD,84.16,clear sky,-1.95,18.2667,Hotel Du Lac
122,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
139,Cidreira,BR,78.1,clear sky,-30.1811,-50.2056,Hotel Castelo
140,Chuy,UY,83.17,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
144,Sri Aman,MY,78.85,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
145,Mackay,AU,78.78,broken clouds,-21.15,149.2,International Lodge Motel
147,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
149,Port Elizabeth,ZA,75.49,clear sky,-33.918,25.5701,39 On Nile Guest House
153,Bandarbeyla,SO,76.48,clear sky,9.4942,50.8122,JABIR HOTEL
161,Padang,ID,79.81,moderate rain,-0.9492,100.3543,Mercure Padang
169,Sola,VU,81.75,overcast clouds,-13.8833,167.55,Leumerus Bungalows
170,Grand Gaube,MU,82.8,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
171,Karratha,AU,89.82,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
175,Maragogi,BR,86.9,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
176,Qeshm,IR,76.89,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
178,Taoudenni,ML,76.95,overcast clouds,22.6783,-3.9836,
180,Bima,ID,76.26,few clouds,-8.4667,118.7167,Lambitu Hotel
182,Carnarvon,AU,86.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
190,Isangel,VU,78.66,overcast clouds,-19.55,169.2667,Tanna Lodge
194,Port Hedland,AU,86.05,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
203,Faanui,PF,81.05,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
204,Nouakchott,MR,85.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
206,Port Alfred,ZA,80.37,scattered clouds,-33.5906,26.891,The Halyards Hotel
207,Hithadhoo,MV,82.81,overcast clouds,-0.6,73.0833,Scoop Guest House
210,Namibe,AO,86.63,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
212,Beloha,MG,81.14,clear sky,-25.1667,45.05,
219,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
225,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
229,Samarai,PG,82.74,overcast clouds,-10.6167,150.6667,Nuli Sapi
234,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
238,Chipoka,MW,77.29,moderate rain,-13.9933,34.5157,The Cichlids Lodge
243,Port-Gentil,GA,81.57,few clouds,-0.7193,8.7815,Fengshui Residence
249,Neuquen,AR,88.16,clear sky,-38.9516,-68.0591,Hotel del Comahue
251,Tecoanapa,MX,79.34,clear sky,16.5167,-98.75,Hotel Manglares
253,Bonthe,SL,87.31,clear sky,7.5264,-12.505,Bonthe Holiday Village
254,Auki,SB,77.04,overcast clouds,-8.7676,160.7034,Auki Motel
255,Arboletes,CO,84.18,scattered clouds,8.8505,-76.4269,Hotel Playa Star
256,Bambous Virieux,MU,82.65,light rain,-20.3428,57.7575,Casa Tia Villa
258,Siocon,PH,77.94,broken clouds,7.7061,122.1353,ABS Hotel
259,Daru,PG,80.04,overcast clouds,-9.0763,143.2092,Daru Lodge
269,Necochea,AR,79.03,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
270,Waingapu,ID,79.21,few clouds,-9.6567,120.2641,Pondok Wisata Elim
281,Bonao,DO,81.12,few clouds,18.9369,-70.4092,POOL CITY HOTEL Bar & Lounge
282,Tabou,CI,84.13,light rain,4.423,-7.3528,hotêl doufoulougou
283,Quelimane,MZ,79.18,moderate rain,-17.8786,36.8883,Hotel Flamingo
284,Jaque,PA,81.64,light rain,7.5175,-78.1703,Aventuras Jaque S.A
290,Yulara,AU,84.06,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
292,Cayenne,GF,77.04,mist,4.9333,-52.3333,Hôtel Le Dronmi
293,Maan,PH,78.78,scattered clouds,5.9339,124.7356,lola glo resort
296,Port Blair,IN,80.69,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
300,Kidal,ML,88.12,clear sky,18.4411,1.4078,
301,Aden,YE,77.67,clear sky,12.7794,45.0367,Sama Emirate Hotel
303,Kalabo,ZM,77.56,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
306,Saint-Georges,GD,80.89,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
317,Kumta,IN,75.61,clear sky,14.4167,74.4,Hotel Vaibhav Palace
321,Port Moresby,PG,75.97,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
323,Axim,GH,84.67,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
327,Labuhan,ID,76.8,overcast clouds,-6.8844,112.2051,DoubleFAG
330,Olinda,BR,85.73,broken clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
332,Kavaratti,IN,80.83,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
335,Kavieng,PG,80.89,moderate rain,-2.5744,150.7967,Nusa Island Retreat
336,Adrar,MR,77.18,overcast clouds,20.5022,-10.0711,
339,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
340,Pando,UY,82.98,clear sky,-34.7167,-55.95,viviendas mvotma
341,Kuruman,ZA,81.99,overcast clouds,-27.4524,23.4325,Cornerstone Guest House
342,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
345,Sinnamary,GF,75.27,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
348,Santa Maria,BR,88.9,clear sky,-29.6842,-53.8069,Hotel Morotin
356,Buala,SB,78.73,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
360,Champerico,GT,86.76,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
361,Perbaungan,ID,77.11,overcast clouds,3.5679,98.956,Bendang Lama
362,Eirunepe,BR,84.72,broken clouds,-6.6603,-69.8736,Atrás de você
363,Bengkulu,ID,78.04,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
370,Cap Malheureux,MU,82.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
371,Cacu,BR,86.92,few clouds,-18.5567,-51.1308,Império Hotel
374,Amapa,BR,80.46,broken clouds,1.0,-52.0,
376,Coahuayana,MX,78.66,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
379,Fayaoue,NC,80.55,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
381,Acarau,BR,87.58,overcast clouds,-2.8856,-40.12,castelo pizzaria
385,Mogadishu,SO,78.49,clear sky,2.0371,45.3438,Hotel Juba
386,Bac Lieu,VN,80.01,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
388,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
401,Richards Bay,ZA,77.81,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
405,Imbituba,BR,84.09,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
408,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
412,Kalmunai,LK,76.8,broken clouds,7.4167,81.8167,VS Villa
414,Saint-Pierre,RE,82.08,few clouds,-21.3393,55.4781,Lindsey Hôtel
420,Jibuti,DJ,76.42,clear sky,11.5,42.5,Orchid Main Camp Goubet
421,Vao,NC,77.56,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
422,Boyuibe,BO,87.35,few clouds,-20.4167,-63.2833,Residencial Eluzai
