City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,-17.5,93,99,5.97,overcast clouds
1,Takoradi,GH,4.8845,-1.7554,83.88,73,43,9.55,scattered clouds
2,Kruisfontein,ZA,-34.0033,24.7314,83.73,53,91,12.44,light rain
3,Ushuaia,AR,-54.8,-68.3,46.02,70,75,23.02,broken clouds
4,Yuncheng,CN,35.0231,110.9928,39.45,66,6,6.35,clear sky
5,Rikitea,PF,-23.1203,-134.9692,76.5,69,42,2.1,light rain
6,Tasiilaq,GL,65.6145,-37.6368,24.66,89,100,37.63,snow
7,Tiarei,PF,-17.5333,-149.3333,77.02,74,70,12.68,broken clouds
8,Bluff,NZ,-46.6,168.3333,58.8,94,100,11.81,overcast clouds
9,Tarazona,ES,41.9,-1.7333,55.99,37,72,10.29,broken clouds
10,Mataura,NZ,-46.1927,168.8643,58.48,99,100,2.64,light rain
11,Vaini,TO,-21.2,-175.2,75.36,94,20,4.61,few clouds
12,Provideniya,RU,64.3833,-173.3,-6.27,89,100,11.43,overcast clouds
13,Nikolskoye,RU,59.7035,30.7861,38.71,90,75,9.86,broken clouds
14,Honningsvag,NO,70.9821,25.9704,33.03,69,100,21.83,light snow
15,Vila,PT,42.0304,-8.1588,44.74,82,100,6.51,overcast clouds
16,Georgetown,MY,5.4112,100.3354,79.95,96,40,8.05,moderate rain
17,Meulaboh,ID,4.1363,96.1285,77.72,86,99,6.06,moderate rain
18,Qazvin,IR,36.2797,50.0049,49.62,43,40,4.61,scattered clouds
19,Itarema,BR,-2.9248,-39.9167,88.12,53,97,15.08,overcast clouds
20,Busselton,AU,-33.65,115.3333,79.09,68,0,14.94,clear sky
21,Shu,KZ,43.5983,73.7614,26.91,88,100,3.29,light snow
22,Hilo,US,19.7297,-155.09,64.26,72,0,6.91,clear sky
23,Bredasdorp,ZA,-34.5322,20.0403,74.52,64,99,12.66,overcast clouds
24,Souillac,MU,-20.5167,57.5167,82.78,83,75,6.91,light rain
25,Amga,RU,60.8953,131.9608,-31.61,100,31,0.69,scattered clouds
26,Tilichiki,RU,60.4667,166.1,-20.24,94,12,11.36,few clouds
27,Saskylakh,RU,71.9167,114.0833,-26.34,100,17,0.96,few clouds
28,Kodiak,US,57.79,-152.4072,35.11,87,0,8.05,clear sky
29,Castro,BR,-24.7911,-50.0119,77.85,63,13,0.58,few clouds
30,Cape Town,ZA,-33.9258,18.4232,81.88,55,0,12.66,clear sky
31,Fergus Falls,US,46.283,-96.0776,13.15,78,40,17.27,scattered clouds
32,Saint-Philippe,RE,-21.3585,55.7679,81.99,86,61,12.62,broken clouds
33,Hohhot,CN,40.8106,111.6522,10.69,48,0,6.71,clear sky
34,Broome,US,42.2506,-75.833,19.17,67,12,5.01,few clouds
35,East London,ZA,-33.0153,27.9116,79.74,69,0,18.41,clear sky
36,Hermanus,ZA,-34.4187,19.2345,77.9,77,19,7.14,few clouds
37,Pakxan,LA,18.3778,103.6601,75.42,55,37,3.87,scattered clouds
38,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,71,28,9.89,scattered clouds
39,Yellowknife,CA,62.456,-114.3525,-26.45,76,20,9.22,few clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,96,7.0,overcast clouds
41,Butaritari,KI,3.0707,172.7902,81.77,74,82,17.76,broken clouds
42,Tanout,NE,14.9709,8.8879,90.45,6,5,13.89,clear sky
43,Uarini,BR,-2.99,-65.1083,82.35,83,100,2.86,overcast clouds
44,Kailua,US,21.4022,-157.7394,71.15,80,4,11.5,clear sky
45,Abeche,TD,13.8292,20.8324,95.47,8,46,11.07,scattered clouds
46,Miles City,US,46.4083,-105.8406,25.77,74,40,11.5,scattered clouds
47,Albany,US,42.6001,-73.9662,18.81,62,2,6.49,clear sky
48,Airai,TL,-8.9266,125.4092,59.52,90,7,2.42,clear sky
49,Yarada,IN,17.65,83.2667,73.72,68,20,2.3,haze
50,Sao Filipe,CV,14.8961,-24.4956,75.65,58,95,11.41,overcast clouds
