City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,86.16,74,40,13.8,scattered clouds
1,Port Macquarie,AU,-31.4333,152.9167,72.9,65,55,6.71,broken clouds
2,Barrow,US,71.2906,-156.7887,-27.38,68,0,9.22,clear sky
3,Verkhovye,RU,52.8119,37.2425,17.94,86,61,10.18,broken clouds
4,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,73,40,8.99,scattered clouds
5,Florence,IT,43.7667,11.25,49.68,85,75,3.44,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,78.62,71,66,12.82,broken clouds
7,Lima,PE,-12.0432,-77.0282,76.89,66,46,1.01,scattered clouds
8,Port Alfred,ZA,-33.5906,26.891,70.56,87,76,11.3,broken clouds
9,Rovaniemi,FI,66.5,25.7167,27.81,100,100,10.36,overcast clouds
10,Saint George,US,37.1041,-113.5841,73.87,14,0,3.0,clear sky
11,Vila Velha,BR,-20.3297,-40.2925,75.15,96,100,6.91,overcast clouds
12,Skibbereen,IE,51.55,-9.2667,40.8,80,6,7.58,clear sky
13,Storslett,NO,69.7678,21.0247,12.56,95,79,5.32,light snow
14,New Norfolk,AU,-42.7826,147.0587,63.66,66,96,3.13,light rain
15,Port-Gentil,GA,-0.7193,8.7815,80.76,78,100,7.4,overcast clouds
16,Naze,JP,28.3667,129.4833,56.77,87,100,18.68,light rain
17,Grand Gaube,MU,-20.0064,57.6608,81.37,77,93,8.99,overcast clouds
18,Cidreira,BR,-30.1811,-50.2056,69.22,93,100,4.18,overcast clouds
19,Isangel,VU,-19.55,169.2667,84.15,73,87,10.04,overcast clouds
20,Mufumbwe,ZM,-13.6833,24.8,61.95,96,43,1.9,scattered clouds
21,Mandalgovi,MN,45.7625,106.2708,-7.71,86,47,7.34,scattered clouds
22,Hobart,AU,-42.8794,147.3294,64.02,74,100,10.36,overcast clouds
23,Itarema,BR,-2.9248,-39.9167,79.57,79,10,14.05,clear sky
24,Saskylakh,RU,71.9167,114.0833,-17.9,89,46,3.0,scattered clouds
25,Hermanus,ZA,-34.4187,19.2345,65.8,83,67,18.97,broken clouds
26,Novikovo,RU,51.1537,37.8879,13.71,92,23,5.73,few clouds
27,Albany,US,42.6001,-73.9662,23.74,53,100,5.99,overcast clouds
28,Dikson,RU,73.5069,80.5464,-4.94,87,100,24.45,overcast clouds
29,Kamenka,RU,51.3223,42.7678,8.22,96,13,6.2,few clouds
30,Katsuura,JP,35.1333,140.3,39.11,89,100,27.02,overcast clouds
31,Staryy Merchyk,UA,49.9815,35.759,20.8,86,6,6.85,clear sky
32,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.92,74,23,14.0,few clouds
33,Chokurdakh,RU,70.6333,147.9167,-9.36,94,99,8.55,overcast clouds
34,Bethel,US,41.3712,-73.414,28.76,67,100,6.91,overcast clouds
35,Pavlovka,RU,52.6897,47.1405,22.73,94,85,9.48,overcast clouds
36,Severo-Kurilsk,RU,50.6789,156.125,25.16,67,24,13.42,few clouds
37,Kruisfontein,ZA,-34.0033,24.7314,66.24,81,32,7.07,scattered clouds
38,Buenaventura,CO,3.8801,-77.0312,74.64,96,98,3.49,overcast clouds
39,Hilo,US,19.7297,-155.09,77.25,85,13,5.01,few clouds
40,Sao Filipe,CV,14.8961,-24.4956,73.94,67,61,10.78,broken clouds
41,Fort Nelson,CA,58.8053,-122.7002,14.23,90,96,2.8,overcast clouds
42,Jamestown,US,42.097,-79.2353,20.52,57,100,8.05,overcast clouds
43,Hithadhoo,MV,-0.6,73.0833,82.04,73,81,10.74,broken clouds
44,Plettenberg Bay,ZA,-34.0527,23.3716,68.23,80,51,3.36,light rain
45,Koryukivka,UA,51.7688,32.2481,25.81,86,41,10.42,scattered clouds
46,Butaritari,KI,3.0707,172.7902,80.8,79,68,12.53,moderate rain
47,Ushuaia,AR,-54.8,-68.3,38.86,87,100,36.82,moderate rain
48,Xining,CN,36.6167,101.7667,9.19,75,9,2.35,clear sky
49,Klaksvik,FO,62.2266,-6.589,34.72,70,100,28.99,overcast clouds
50,Tasiilaq,GL,65.6145,-37.6368,21.36,93,100,14.36,light snow
51,Richards Bay,ZA,-28.783,32.0377,75.79,92,76,5.79,broken clouds
52,Ilulissat,GL,69.2167,-51.1,10.42,85,100,26.46,heavy shower snow
53,Tuktoyaktuk,CA,69.4541,-133.0374,-30.86,98,78,5.46,broken clouds
54,Suda,RU,59.1525,37.5582,27.19,91,100,10.83,overcast clouds
55,Roald,NO,62.5833,6.1333,38.91,93,75,20.71,light intensity drizzle
56,Mount Gambier,AU,-37.8333,140.7667,64.31,72,100,12.66,overcast clouds
57,Nandgaon,IN,20.3167,74.65,67.33,42,0,5.75,clear sky
58,Haines Junction,CA,60.7522,-137.5108,20.61,92,100,0.27,overcast clouds
59,Riviere-Au-Renard,CA,48.9957,-64.3971,-2.97,93,56,10.58,broken clouds
60,Carnarvon,AU,-24.8667,113.6333,81.82,74,3,4.16,clear sky
61,Busselton,AU,-33.65,115.3333,64.04,71,0,12.26,clear sky
62,Hamilton,US,39.1834,-84.5333,25.74,84,100,12.66,mist
63,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,0,10.36,clear sky
64,Kapaa,US,22.0752,-159.319,79.2,63,70,5.99,broken clouds
65,Barcelona,ES,41.3888,2.159,56.77,83,40,12.66,scattered clouds
66,Punta Arenas,CL,-53.15,-70.9167,48.31,43,20,20.71,few clouds
67,Atuona,PF,-9.8,-139.0333,78.08,77,19,12.91,light rain
68,Mnogovershinnyy,RU,53.9353,139.9242,-11.45,90,63,2.93,broken clouds
69,Ati,TD,13.2154,18.3353,74.34,11,82,10.65,broken clouds
70,Bredasdorp,ZA,-34.5322,20.0403,65.28,78,97,14.56,overcast clouds
71,Chuy,UY,-33.6971,-53.4616,62.71,58,1,8.81,clear sky
72,Arys,KZ,42.4252,68.795,35.82,79,100,7.38,overcast clouds
73,Pevek,RU,69.7008,170.3133,-17.05,97,100,8.99,overcast clouds
74,Mataura,NZ,-46.1927,168.8643,63.48,48,37,2.28,scattered clouds
75,Young,UY,-32.6833,-57.6333,71.22,36,0,4.16,clear sky
76,Humaita,BR,-7.5061,-63.0208,74.97,97,100,1.88,overcast clouds
77,San Francisco,US,37.7749,-122.4194,81.25,52,6,5.01,clear sky
78,Paldiski,EE,59.3567,24.0531,36.14,93,100,16.11,overcast clouds
79,Viedma,AR,-40.8135,-62.9967,84.07,21,0,4.72,clear sky
80,Sitka,US,57.0531,-135.33,39.38,94,100,4.68,light rain
81,East London,ZA,-33.0153,27.9116,73.27,81,87,11.56,overcast clouds
82,Bengkulu,ID,-3.8004,102.2655,75.29,88,100,3.27,overcast clouds
83,Faanui,PF,-16.4833,-151.75,80.92,73,100,13.89,light rain
84,Lebu,CL,-37.6167,-73.65,62.22,81,75,6.62,broken clouds
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.26,89,5,11.74,clear sky
86,Qaanaaq,GL,77.484,-69.3632,-9.56,80,93,6.17,overcast clouds
87,Camacha,PT,33.0833,-16.3333,58.42,67,20,10.36,few clouds
88,Caravelas,BR,-17.7125,-39.2481,76.19,85,82,5.95,broken clouds
89,Muravlenko,RU,63.7898,74.523,-16.2,100,98,8.68,overcast clouds
90,Simbahan,PH,6.3032,120.5836,80.15,78,100,3.87,overcast clouds
91,Ponta Do Sol,PT,32.6667,-17.1,62.71,68,95,1.97,overcast clouds
92,Yellowknife,CA,62.456,-114.3525,-11.58,86,72,2.15,broken clouds
93,Ribeira Grande,PT,38.5167,-28.7,58.12,69,100,10.07,overcast clouds
94,Fomboni,KM,-12.28,43.7425,81.54,78,5,4.25,clear sky
95,Atambua,ID,-9.1061,124.8925,74.88,85,55,2.42,broken clouds
96,San Cristobal,VE,7.7669,-72.225,75.38,65,90,0.98,overcast clouds
97,Lorengau,PG,-2.0226,147.2712,82.67,76,99,2.95,overcast clouds
98,Brokopondo,SR,4.75,-55.1667,75.81,90,23,7.63,few clouds
99,Kitui,KE,-1.367,38.0106,65.32,63,100,2.35,overcast clouds
100,Pacific Grove,US,36.6177,-121.9166,85.57,69,0,5.99,clear sky
101,Meulaboh,ID,4.1363,96.1285,76.23,88,95,5.06,light rain
102,Ahipara,NZ,-35.1667,173.1667,68.63,57,86,8.86,overcast clouds
103,Pizarro,CO,4.9533,-77.366,77.94,87,96,6.89,light rain
104,Mumford,GH,5.2618,-0.759,79.57,83,84,7.83,broken clouds
105,Lakes Entrance,AU,-37.8811,147.981,74.46,57,87,2.51,overcast clouds
106,Guaymas,MX,27.9333,-110.9,92.88,47,0,6.91,clear sky
107,Lethem,GY,3.3803,-59.7968,84.51,57,95,12.44,overcast clouds
108,Touros,BR,-5.1989,-35.4608,83.3,76,8,14.0,clear sky
109,Shimoda,JP,34.6667,138.95,36.1,86,100,19.15,light rain
110,Yarim,YE,14.298,44.3779,50.7,64,3,1.52,clear sky
111,Koforidua,GH,6.0941,-0.2591,74.55,85,100,1.61,overcast clouds
112,San Vicente,AR,-26.6167,-54.1333,75.9,54,52,3.02,broken clouds
113,Cape Town,ZA,-33.9258,18.4232,68.34,83,7,8.01,clear sky
114,Wuwei,CN,37.9281,102.6414,23.81,64,70,2.8,broken clouds
115,Qitaihe,CN,45.8,130.85,-7.76,100,85,1.41,overcast clouds
116,Barcelos,PT,41.5388,-8.6151,53.74,85,19,6.08,few clouds
