City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cherskiy,RU,2022-02-12 15:41:39,68.75,161.3,-23.82,98,100,9.08
1,East London,ZA,2022-02-12 15:39:40,-33.0153,27.9116,83.34,78,20,13.8
2,Henties Bay,NA,2022-02-12 15:41:34,-22.116,14.2845,74.39,78,8,6.11
3,Safaga,EG,2022-02-12 15:48:02,26.7292,33.9365,69.75,48,0,8.5
4,Georgetown,MY,2022-02-12 15:41:30,5.4112,100.3354,82.89,83,20,2.3
5,Pijijiapan,MX,2022-02-12 15:48:04,15.7011,-93.23,90.82,36,0,4.74
6,Kudahuvadhoo,MV,2022-02-12 15:48:05,2.6708,72.8944,82.04,66,95,6.46
7,Taoudenni,ML,2022-02-12 15:48:07,22.6783,-3.9836,76.71,13,0,12.06
8,Jamestown,US,2022-02-12 15:38:10,42.097,-79.2353,29.52,51,100,12.66
9,Vardo,NO,2022-02-12 15:44:33,70.3705,31.1107,16.0,71,37,13.38
10,Koutiala,ML,2022-02-12 15:48:09,12.3917,-5.4642,92.19,6,24,8.37
11,Rikitea,PF,2022-02-12 15:39:16,-23.1203,-134.9692,78.93,71,48,15.88
12,Bredasdorp,ZA,2022-02-12 15:39:33,-34.5322,20.0403,74.52,64,47,11.5
13,Morristown,US,2022-02-12 15:43:31,36.214,-83.2949,52.07,57,40,8.05
14,Dubai,AE,2022-02-12 15:43:31,25.2582,55.3047,75.13,50,0,13.8
15,Salisbury,GB,2022-02-12 15:48:13,51.0693,-1.7957,47.64,68,20,21.85
16,Albany,US,2022-02-12 15:39:24,42.6001,-73.9662,49.59,53,99,1.01
17,Tasiilaq,GL,2022-02-12 15:42:55,65.6145,-37.6368,15.96,64,100,2.93
18,Guerrero Negro,MX,2022-02-12 15:48:17,27.9769,-114.0611,63.97,58,99,4.99
19,Thompson,CA,2022-02-12 15:39:44,55.7435,-97.8558,-21.84,76,0,3.44
20,Mamakan,RU,2022-02-12 15:48:19,57.8161,114.0028,-37.34,100,48,1.79
21,Lata,PT,2022-02-12 15:39:15,40.1629,-8.3327,61.07,67,100,5.91
22,Busselton,AU,2022-02-12 15:39:06,-33.65,115.3333,58.08,68,0,14.65
23,Bani Walid,LY,2022-02-12 15:48:21,31.7566,13.9942,62.17,36,33,4.05
24,Bluff,NZ,2022-02-12 15:48:22,-46.6,168.3333,51.8,65,75,14.34
25,Ushuaia,AR,2022-02-12 15:36:48,-54.8,-68.3,49.62,61,75,40.29
26,Lebu,CL,2022-02-12 15:43:08,-37.6167,-73.65,69.71,53,5,12.46
27,Atuona,PF,2022-02-12 15:43:20,-9.8,-139.0333,77.16,79,10,13.69
28,Esperance,AU,2022-02-12 15:48:26,-33.8667,121.9,66.04,71,99,14.54
29,Vitim,RU,2022-02-12 15:48:27,59.4511,112.5578,-24.09,100,25,0.98
30,Barrow,US,2022-02-12 15:43:27,71.2906,-156.7887,-30.98,100,0,8.05
31,Punta Arenas,CL,2022-02-12 15:39:25,-53.15,-70.9167,57.31,47,40,36.82
